Line#,Date,Rain ,Wind Speed ,Gust Speed ,Wind Direction ,Temperature ,RH ,Dew Point
1,03/21/23 21:15:00,0,11,19,90,71.635,67.034,60.148
2,03/21/23 21:20:00,0,14,23,84,71.326,67.431,60.02
3,03/21/23 21:25:00,0,14,19,87,71.403,67.729,60.218
4,03/21/23 21:30:00,0,10,18,95,71.712,67.811,60.547
5,03/21/23 21:35:00,0,12,21,86,71.364,68.023,60.303
6,03/21/23 21:40:00,0,12,24,86,71.094,68.493,60.239
7,03/21/23 21:45:00,0,12,23,88,70.785,69.438,60.329
8,03/21/23 21:50:00,0,11,19,97,70.554,70.251,60.435
9,03/21/23 21:55:00,0,9,16,95,70.669,70.228,60.537
10,03/21/23 22:00:00,0,11,19,93,70.438,71.638,60.876
11,03/21/23 22:05:00,0,10,17,90,70.438,72.691,61.288
12,03/21/23 22:10:00,0,11,17,79,70.09,74.165,61.521
13,03/21/23 22:15:00,0,10,17,88,70.129,74.137,61.548
14,03/21/23 22:20:00,0,11,18,81,69.782,75.116,61.584
15,03/21/23 22:25:00,0,10,16,77,69.704,75.554,61.674
16,03/21/23 22:30:00,0,9,15,80,69.743,75.724,61.775
17,03/21/23 22:35:00,0,8,16,83,69.782,75.262,61.639
18,03/21/23 22:40:00,0,10,17,83,69.666,76.098,61.84
19,03/21/23 22:45:00,0,10,16,77,69.357,76.548,61.708
20,03/21/23 22:50:00,0,10,16,83,69.511,75.926,61.626
21,03/21/23 22:55:00,0,8,14,81,69.511,75.544,61.483
22,03/21/23 23:00:00,0,10,17,76,69.395,75.912,61.509
23,03/21/23 23:05:00,0,10,16,79,69.318,76.057,61.488
24,03/21/23 23:10:00,0,11,15,74,69.164,76.292,61.426
25,03/21/23 23:15:00,0,9,17,83,69.28,75.985,61.424
26,03/21/23 23:20:00,0,10,15,80,69.241,76.407,61.543
27,03/21/23 23:25:00,0,11,16,76,69.009,76.974,61.528
28,03/21/23 23:30:00,0,10,15,79,68.894,77.212,61.503
29,03/21/23 23:35:00,0,8,15,81,68.971,77.069,61.526
30,03/21/23 23:40:00,0,10,16,79,68.894,77.417,61.578
31,03/21/23 23:45:00,0,9,14,74,68.778,77.696,61.568
32,03/21/23 23:50:00,0,9,16,77,68.662,78.039,61.58
33,03/21/23 23:55:00,0,10,16,79,68.739,78.425,61.795
34,03/22/23 00:00:00,0,9,15,74,68.546,78.648,61.688
35,03/22/23 00:05:00,0,11,18,80,68.469,78.869,61.692
36,03/22/23 00:10:00,0,9,15,70,68.353,79.387,61.765
37,03/22/23 00:15:00,0,9,16,77,68.392,79.272,61.762
38,03/22/23 00:20:00,0,9,16,73,68.276,79.721,61.809
39,03/22/23 00:25:00,0,10,17,77,68.314,79.593,61.801
40,03/22/23 00:30:00,0,10,16,74,68.237,79.899,61.835
41,03/22/23 00:35:00,0,8,14,77,68.276,79.939,61.886
42,03/22/23 00:40:00,0,10,17,72,68.16,80.172,61.856
43,03/22/23 00:45:00,0,9,15,79,68.237,80.247,61.958
44,03/22/23 00:50:00,0,9,16,81,68.353,80.131,62.03
45,03/22/23 00:55:00,0,10,16,79,68.199,80.488,62.005
